source,receiver,start,end,year,method,id
HARK,MQZ,1,32,2022,all,0
HARK,MQZ,32,60,2022,all,1
HARK,MQZ,60,91,2022,all,2
HARK,MQZ,91,121,2022,all,3
HARK,MQZ,121,152,2022,all,4
HARK,MQZ,152,182,2022,all,5
HARK,MQZ,182,213,2022,all,6
HARK,MQZ,213,244,2022,all,7
HARK,MQZ,244,274,2022,all,8
HARK,MQZ,274,305,2022,all,9
HARK,MQZ,305,335,2022,all,10
HARK,MQZ,335,365,2022,all,11
HARK,OPZ,1,32,2022,all,12
HARK,OPZ,32,60,2022,all,13
HARK,OPZ,60,91,2022,all,14
HARK,OPZ,91,121,2022,all,15
HARK,OPZ,121,152,2022,all,16
HARK,OPZ,152,182,2022,all,17
HARK,OPZ,182,213,2022,all,18
HARK,OPZ,213,244,2022,all,19
HARK,OPZ,244,274,2022,all,20
HARK,OPZ,274,305,2022,all,21
HARK,OPZ,305,335,2022,all,22
HARK,OPZ,335,365,2022,all,23
HARK,QRZ,1,32,2022,all,24
HARK,QRZ,32,60,2022,all,25
HARK,QRZ,60,91,2022,all,26
HARK,QRZ,91,121,2022,all,27
HARK,QRZ,121,152,2022,all,28
HARK,QRZ,152,182,2022,all,29
HARK,QRZ,182,213,2022,all,30
HARK,QRZ,213,244,2022,all,31
HARK,QRZ,244,274,2022,all,32
HARK,QRZ,274,305,2022,all,33
HARK,QRZ,305,335,2022,all,34
HARK,QRZ,335,365,2022,all,35
HARK,NNZ,1,32,2022,all,36
HARK,NNZ,32,60,2022,all,37
HARK,NNZ,60,91,2022,all,38
HARK,NNZ,91,121,2022,all,39
HARK,NNZ,121,152,2022,all,40
HARK,NNZ,152,182,2022,all,41
HARK,NNZ,182,213,2022,all,42
HARK,NNZ,213,244,2022,all,43
HARK,NNZ,244,274,2022,all,44
HARK,NNZ,274,305,2022,all,45
HARK,NNZ,305,335,2022,all,46
HARK,NNZ,335,365,2022,all,47
HARK,DSZ,1,32,2022,all,48
HARK,DSZ,32,60,2022,all,49
HARK,DSZ,60,91,2022,all,50
HARK,DSZ,91,121,2022,all,51
HARK,DSZ,121,152,2022,all,52
HARK,DSZ,152,182,2022,all,53
HARK,DSZ,182,213,2022,all,54
HARK,DSZ,213,244,2022,all,55
HARK,DSZ,244,274,2022,all,56
HARK,DSZ,274,305,2022,all,57
HARK,DSZ,305,335,2022,all,58
HARK,DSZ,335,365,2022,all,59
HARK,THZ,1,32,2022,all,60
HARK,THZ,32,60,2022,all,61
HARK,THZ,60,91,2022,all,62
HARK,THZ,91,121,2022,all,63
HARK,THZ,121,152,2022,all,64
HARK,THZ,152,182,2022,all,65
HARK,THZ,182,213,2022,all,66
HARK,THZ,213,244,2022,all,67
HARK,THZ,244,274,2022,all,68
HARK,THZ,274,305,2022,all,69
HARK,THZ,305,335,2022,all,70
HARK,THZ,335,365,2022,all,71
HARK,KHZ,1,32,2022,all,72
HARK,KHZ,32,60,2022,all,73
HARK,KHZ,60,91,2022,all,74
HARK,KHZ,91,121,2022,all,75
HARK,KHZ,121,152,2022,all,76
HARK,KHZ,152,182,2022,all,77
HARK,KHZ,182,213,2022,all,78
HARK,KHZ,213,244,2022,all,79
HARK,KHZ,244,274,2022,all,80
HARK,KHZ,274,305,2022,all,81
HARK,KHZ,305,335,2022,all,82
HARK,KHZ,335,365,2022,all,83
HARK,LTZ,1,32,2022,all,84
HARK,LTZ,32,60,2022,all,85
HARK,LTZ,60,91,2022,all,86
HARK,LTZ,91,121,2022,all,87
HARK,LTZ,121,152,2022,all,88
HARK,LTZ,152,182,2022,all,89
HARK,LTZ,182,213,2022,all,90
HARK,LTZ,213,244,2022,all,91
HARK,LTZ,244,274,2022,all,92
HARK,LTZ,274,305,2022,all,93
HARK,LTZ,305,335,2022,all,94
HARK,LTZ,335,365,2022,all,95
HARK,GVZ,1,32,2022,all,96
HARK,GVZ,32,60,2022,all,97
HARK,GVZ,60,91,2022,all,98
HARK,GVZ,91,121,2022,all,99
HARK,GVZ,121,152,2022,all,100
HARK,GVZ,152,182,2022,all,101
HARK,GVZ,182,213,2022,all,102
HARK,GVZ,213,244,2022,all,103
HARK,GVZ,244,274,2022,all,104
HARK,GVZ,274,305,2022,all,105
HARK,GVZ,305,335,2022,all,106
HARK,GVZ,335,365,2022,all,107
HARK,WVZ,1,32,2022,all,108
HARK,WVZ,32,60,2022,all,109
HARK,WVZ,60,91,2022,all,110
HARK,WVZ,91,121,2022,all,111
HARK,WVZ,121,152,2022,all,112
HARK,WVZ,152,182,2022,all,113
HARK,WVZ,182,213,2022,all,114
HARK,WVZ,213,244,2022,all,115
HARK,WVZ,244,274,2022,all,116
HARK,WVZ,274,305,2022,all,117
HARK,WVZ,305,335,2022,all,118
HARK,WVZ,335,365,2022,all,119
HARK,OXZ,1,32,2022,all,120
HARK,OXZ,32,60,2022,all,121
HARK,OXZ,60,91,2022,all,122
HARK,OXZ,91,121,2022,all,123
HARK,OXZ,121,152,2022,all,124
HARK,OXZ,152,182,2022,all,125
HARK,OXZ,182,213,2022,all,126
HARK,OXZ,213,244,2022,all,127
HARK,OXZ,244,274,2022,all,128
HARK,OXZ,274,305,2022,all,129
HARK,OXZ,305,335,2022,all,130
HARK,OXZ,335,365,2022,all,131
HARK,RPZ,1,32,2022,all,132
HARK,RPZ,32,60,2022,all,133
HARK,RPZ,60,91,2022,all,134
HARK,RPZ,91,121,2022,all,135
HARK,RPZ,121,152,2022,all,136
HARK,RPZ,152,182,2022,all,137
HARK,RPZ,182,213,2022,all,138
HARK,RPZ,213,244,2022,all,139
HARK,RPZ,244,274,2022,all,140
HARK,RPZ,274,305,2022,all,141
HARK,RPZ,305,335,2022,all,142
HARK,RPZ,335,365,2022,all,143
HARK,LBZ,1,32,2022,all,144
HARK,LBZ,32,60,2022,all,145
HARK,LBZ,60,91,2022,all,146
HARK,LBZ,91,121,2022,all,147
HARK,LBZ,121,152,2022,all,148
HARK,LBZ,152,182,2022,all,149
HARK,LBZ,182,213,2022,all,150
HARK,LBZ,213,244,2022,all,151
HARK,LBZ,244,274,2022,all,152
HARK,LBZ,274,305,2022,all,153
HARK,LBZ,305,335,2022,all,154
HARK,LBZ,335,365,2022,all,155
HARK,CVZ,1,32,2022,all,156
HARK,CVZ,32,60,2022,all,157
HARK,CVZ,60,91,2022,all,158
HARK,CVZ,91,121,2022,all,159
HARK,CVZ,121,152,2022,all,160
HARK,CVZ,152,182,2022,all,161
HARK,CVZ,182,213,2022,all,162
HARK,CVZ,213,244,2022,all,163
HARK,CVZ,244,274,2022,all,164
HARK,CVZ,274,305,2022,all,165
HARK,CVZ,305,335,2022,all,166
HARK,CVZ,335,365,2022,all,167
HARK,MSZ,1,32,2022,all,168
HARK,MSZ,32,60,2022,all,169
HARK,MSZ,60,91,2022,all,170
HARK,MSZ,91,121,2022,all,171
HARK,MSZ,121,152,2022,all,172
