source,receiver,start,end,year,method,id
MTFO,MQZ,305,335,2021,cohe,0
MTFO,MQZ,335,365,2021,cohe,1
MTFO,OPZ,305,335,2021,cohe,2
MTFO,OPZ,335,365,2021,cohe,3
MTFO,QRZ,305,335,2021,cohe,4
MTFO,QRZ,335,365,2021,cohe,5
MTFO,NNZ,305,335,2021,cohe,6
MTFO,NNZ,335,365,2021,cohe,7
MTFO,DSZ,305,335,2021,cohe,8
MTFO,DSZ,335,365,2021,cohe,9
MTFO,THZ,305,335,2021,cohe,10
MTFO,THZ,335,365,2021,cohe,11
MTFO,KHZ,305,335,2021,cohe,12
MTFO,KHZ,335,365,2021,cohe,13
MTFO,LTZ,305,335,2021,cohe,14
MTFO,LTZ,335,365,2021,cohe,15
MTFO,GVZ,305,335,2021,cohe,16
MTFO,GVZ,335,365,2021,cohe,17
MTFO,WVZ,305,335,2021,cohe,18
MTFO,WVZ,335,365,2021,cohe,19
MTFO,OXZ,305,335,2021,cohe,20
MTFO,OXZ,335,365,2021,cohe,21
MTFO,RPZ,305,335,2021,cohe,22
MTFO,RPZ,335,365,2021,cohe,23
MTFO,LBZ,305,335,2021,cohe,24
MTFO,LBZ,335,365,2021,cohe,25
MTFO,CVZ,305,335,2021,cohe,26
MTFO,CVZ,335,365,2021,cohe,27
MTFO,MSZ,305,335,2021,cohe,28
MTFO,MSZ,335,365,2021,cohe,29
MTFO,WKZ,305,335,2021,cohe,30
MTFO,WKZ,335,365,2021,cohe,31
MTFO,ODZ,305,335,2021,cohe,32
MTFO,ODZ,335,365,2021,cohe,33
MTFO,INZ,305,335,2021,cohe,34
MTFO,INZ,335,365,2021,cohe,35
MTFO,FOZ,305,335,2021,cohe,36
MTFO,FOZ,335,365,2021,cohe,37
MTFO,JCZ,305,335,2021,cohe,38
MTFO,JCZ,335,365,2021,cohe,39
MTFO,EAZ,305,335,2021,cohe,40
MTFO,EAZ,335,365,2021,cohe,41
MTFO,MLZ,305,335,2021,cohe,42
MTFO,MLZ,335,365,2021,cohe,43
MTFO,DCZ,305,335,2021,cohe,44
MTFO,DCZ,335,365,2021,cohe,45
MTFO,PYZ,305,335,2021,cohe,46
MTFO,PYZ,335,365,2021,cohe,47
MTFO,WHZ,305,335,2021,cohe,48
MTFO,WHZ,335,365,2021,cohe,49
MTFO,TUZ,305,335,2021,cohe,50
MTFO,TUZ,335,365,2021,cohe,51
MTFO,SYZ,305,335,2021,cohe,52
MTFO,SYZ,335,365,2021,cohe,53
MTFO,WEL,305,335,2021,cohe,54
MTFO,WEL,335,365,2021,cohe,55
MTFO,HARK,305,335,2021,cohe,56
MTFO,HARK,335,365,2021,cohe,57
MTFO,WAIT,305,335,2021,cohe,58
MTFO,WAIT,335,365,2021,cohe,59
MTFO,HAUP,305,335,2021,cohe,60
MTFO,HAUP,335,365,2021,cohe,61
MTFO,DBOY,305,335,2021,cohe,62
MTFO,DBOY,335,365,2021,cohe,63
MTFO,LMAN,305,335,2021,cohe,64
MTFO,LMAN,335,365,2021,cohe,65
